file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,6
style.css,2,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,15
style.css,3,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,15
style.css,4,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,39
style.css,5,css,729d2501,Christine Law,2025-04-10,23:49:22,-07:00,2025-04-10T23:49:22-07:00,0,0
style.css,6,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,70
style.css,7,css,427c9321,Christine Law,2025-04-10,23:47:05,-07:00,2025-04-10T23:47:05-07:00,0,33
style.css,8,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,24
style.css,9,css,615ebdf3,Christine Law,2025-04-10,23:33:12,-07:00,2025-04-10T23:33:12-07:00,0,0
style.css,10,css,615ebdf3,Christine Law,2025-04-10,23:33:12,-07:00,2025-04-10T23:33:12-07:00,0,0
style.css,11,css,10b7d7e7,Christine Law,2025-04-04,14:15:20,-07:00,2025-04-04T14:15:20-07:00,0,5
style.css,12,css,10b7d7e7,Christine Law,2025-04-04,14:15:20,-07:00,2025-04-04T14:15:20-07:00,0,44
style.css,13,css,10b7d7e7,Christine Law,2025-04-04,14:15:20,-07:00,2025-04-04T14:15:20-07:00,0,43
style.css,14,css,10b7d7e7,Christine Law,2025-04-04,14:15:20,-07:00,2025-04-04T14:15:20-07:00,0,1
style.css,15,css,c17aea4f,Christine Law,2025-04-10,23:58:10,-07:00,2025-04-10T23:58:10-07:00,0,25
style.css,16,css,5204fe4d,Christine Law,2025-04-09,11:31:50,-07:00,2025-04-09T11:31:50-07:00,0,14
style.css,17,css,5204fe4d,Christine Law,2025-04-09,11:31:50,-07:00,2025-04-09T11:31:50-07:00,0,11
style.css,18,css,5204fe4d,Christine Law,2025-04-09,11:31:50,-07:00,2025-04-09T11:31:50-07:00,0,16
style.css,19,css,7b280d50,Christine Law,2025-04-09,11:51:16,-07:00,2025-04-09T11:51:16-07:00,0,17
style.css,20,css,7b280d50,Christine Law,2025-04-09,11:51:16,-07:00,2025-04-09T11:51:16-07:00,0,18
style.css,21,css,7b280d50,Christine Law,2025-04-09,11:51:16,-07:00,2025-04-09T11:51:16-07:00,0,19
style.css,22,css,e6fc1018,Christine Law,2025-04-09,12:07:58,-07:00,2025-04-09T12:07:58-07:00,0,13
style.css,23,css,10b7d7e7,Christine Law,2025-04-04,14:15:20,-07:00,2025-04-04T14:15:20-07:00,0,24
style.css,24,css,03863967,Christine Law,2025-04-04,17:01:28,-07:00,2025-04-04T17:01:28-07:00,0,3
style.css,25,css,03863967,Christine Law,2025-04-04,17:01:28,-07:00,2025-04-04T17:01:28-07:00,0,56
style.css,26,css,03863967,Christine Law,2025-04-04,17:01:28,-07:00,2025-04-04T17:01:28-07:00,0,64
style.css,27,css,03863967,Christine Law,2025-04-04,17:01:28,-07:00,2025-04-04T17:01:28-07:00,0,0
style.css,28,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,29,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,30,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,4
style.css,31,css,065e556b,Christine Law,2025-04-18,22:47:45,-07:00,2025-04-18T22:47:45-07:00,0,16
style.css,32,css,28e06fb5,Christine Law,2025-04-18,23:20:10,-07:00,2025-04-18T23:20:10-07:00,0,46
style.css,33,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,52
style.css,34,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,18
style.css,35,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,24
style.css,36,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,26
style.css,37,css,28e06fb5,Christine Law,2025-04-18,23:20:10,-07:00,2025-04-18T23:20:10-07:00,0,48
style.css,38,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,25
style.css,39,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,10
style.css,40,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,41,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,42,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,6
style.css,43,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,14
style.css,44,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,47
style.css,45,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,57
style.css,46,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,50
style.css,47,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,58
style.css,48,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,49,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,50,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,14
style.css,51,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,17
style.css,52,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,22
style.css,53,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,25
style.css,54,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,46
style.css,55,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,56,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,57,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,12
style.css,58,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,46
style.css,59,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,22
style.css,60,css,4e5034b3,Christine Law,2025-04-18,19:43:01,-07:00,2025-04-18T19:43:01-07:00,0,47
style.css,61,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,62,css,0b57323a,Christine Law,2025-04-18,19:35:59,-07:00,2025-04-18T19:35:59-07:00,0,0
style.css,63,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,64,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,5
style.css,65,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,13
style.css,66,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,31
style.css,67,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,9
style.css,68,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,69,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,70,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,33
style.css,71,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,6
style.css,72,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,18
style.css,73,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,74,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,75,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,29
style.css,76,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,5
style.css,77,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,9
style.css,78,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,14
style.css,79,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,11
style.css,80,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,22
style.css,81,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,14
style.css,82,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,22
style.css,83,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,18
style.css,84,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,85,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,0
style.css,86,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,34
style.css,87,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,7
style.css,88,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,19
style.css,89,css,b79e27e0,Christine Law,2025-04-18,19:27:55,-07:00,2025-04-18T19:27:55-07:00,0,17
